Codigo;factura;valor
865000;3002611981 - 31;$3.791.890
860001;3002610768 - 56;$29.590
860002;3002610771 - 66;$149.460
860003;3002610772 - 64;$194.020
860004;3002610774 - 60;$194.020
860005;3002610775 - 69;$27.110
860006;3002610776 - 67;$194.020
860007;3002610778 - 63;$180.440
860008;3002610779 - 61;$102.720
860009;3002610780 - 75;$180.440
860010;3002610781 - 73;$27.110
860011;3002610783 - 70;$27.110
860012;3002610784 - 78;$29.590
860013;3002610785 - 76;$27.110
860014;3002610786 - 74;$27.110
860015;3002610787 - 72;$29.590
860016;3002610788 - 70;$27.110
860017;3002610789 - 79;$29.590
860018;3002610791 - 80;$29.590
860019;3002610792 - 89;$29.590
860020;3002610793 - 87;$149.460
860021;3002610794 - 85;$29.590
860022;3002610795 - 83;$29.590
860023;3002610796 - 81;$29.590
860024;3002610797 - 80;$29.590
860025;3002610799 - 86;$27.550
860026;3002610800 - 13;$29.590
860027;3002610801 - 11;$27.110
860028;3002610802 - 10;$29.590
860029;3002610803 - 18;$29.590
860030;3002610804 - 16;$27.110
860031;3002610805 - 14;$27.110
860033;3002610806 - 12;$29.590
860034;3002610808 - 19;$29.590
860035;3002610809 - 17;$29.590
860036;3002610810 - 20;$29.590
860037;3002610811 - 29;$29.590
860038;3002610812 - 27;$29.590
860039;3002610813 - 25;$160.770
860040;3002610814 - 23;$27.110
860041;3002610815 - 21;$29.590
860042;3002610817 - 28;$29.590
860043;3002610818 - 26;$27.110
860044;3002610819 - 24;$27.110
860045;3002610820 - 38;$27.110
860046;3002610821 - 36;$29.590
860047;3002610822 - 34;$27.750
860048;3002610823 - 32;$160.770
860049;3002610824 - 30;$29.590
860050;3002610826 - 37;$149.460
860051;3002610827 - 35;$29.590
860052;3002610828 - 33;$29.590
860053;3002610829 - 31;$29.590
860054;3002610830 - 45;$29.590
860055;3002610831 - 43;$27.110
860056;3002610832 - 41;$27.110
860057;3002610833 - 40;$102.720
860058;3002610835 - 46;$149.460
860059;3002610836 - 44;$27.110
860060;3002610837 - 42;$27.110
860061;3002610838 - 40;$29.590
860062;3002610839 - 49;$29.590
860063;3002610841 - 50;$160.770
860064;3002610842 - 59;$27.110
860065;3002610843 - 57;$29.590
860066;3002610844 - 55;$29.590
860067;3002610845 - 53;$29.590
860068;3002610847 - 50;$27.110
860069;3002610848 - 58;$27.110
860071;3002610849 - 56;$194.020
860072;3002610850 - 60;$27.110
