codigo1;orden1;codigo2;orden2
860012;7710383;860024;7710396
860026;7710397;860029;7710403
860030.;7710406;860034;7710417
860035.;7710420;860036;7710421
860038.;7710423;860040;7710426
860042;7710427;860146;7710380
860167;7710381;860168;7710382
860177.;7710384;860179;7710385
860180;7710386;860181;7710387
860187;7710388;860203;7710389
860210;7710390;860250;7710391
860264;7710392;860265;7710393
860267;7710394;860287;7710430
860323;7710395;860353;7710398
860379;7710399;860389;7710400
860390.;7710401;860391;7710402
860398;7710404;860400;7710405
860406;7710407;860411;7710408
860428;7710409;860429;7710410
860439;7710411;860440;7710412
860441;7710413;860444;7710414
860450;7710415;860453;7710416
860460.;7710418;860467;7710419
860473;7710422;860485;7710424
860488.;7710425;860519;7710428
